hidden_size,num_layers,dropout,learning_rate,batch_size,f1_score
50,1,0.2,0.0005,16,0.7658075502595563
50,1,0.2,0.0005,32,0.7572729056572804
50,1,0.2,0.001,16,0.7311512799492408
50,1,0.2,0.001,32,0.7529738252970897
50,1,0.3,0.0005,16,0.7631371539443081
50,1,0.3,0.0005,32,0.7632699278578137
50,1,0.3,0.001,16,0.7416633121209345
50,1,0.3,0.001,32,0.7401466139508557
50,1,0.5,0.0005,16,0.7396683275000546
50,1,0.5,0.0005,32,0.729893855528831
50,1,0.5,0.001,16,0.7118625104275166
50,1,0.5,0.001,32,0.7447552795538679
50,2,0.2,0.0005,16,0.7647321899446832
50,2,0.2,0.0005,32,0.7704636945767384
50,2,0.2,0.001,16,0.7489996943338866
50,2,0.2,0.001,32,0.7690047168089139
50,2,0.3,0.0005,16,0.7596504804209788
50,2,0.3,0.0005,32,0.7482677653880021
50,2,0.3,0.001,16,0.7479804095200797
50,2,0.3,0.001,32,0.7465063080351048
50,2,0.5,0.0005,16,0.7614022983395236
50,2,0.5,0.0005,32,0.7413412507342668
50,2,0.5,0.001,16,0.7312734851713366
50,2,0.5,0.001,32,0.7371364465412009
50,3,0.2,0.0005,16,0.7668542383287036
50,3,0.2,0.0005,32,0.7568606040206752
50,3,0.2,0.001,16,0.7663037425978507
50,3,0.2,0.001,32,0.7596910100430474
50,3,0.3,0.0005,16,0.7524822393215689
50,3,0.3,0.0005,32,0.764476006682655
50,3,0.3,0.001,16,0.7410978670551583
50,3,0.3,0.001,32,0.7507291085435244
50,3,0.5,0.0005,16,0.7524822393215689
50,3,0.5,0.0005,32,0.7434728656811069
50,3,0.5,0.001,16,0.7076580819101512
50,3,0.5,0.001,32,0.7240450826793853
100,1,0.2,0.0005,16,0.780703469777478
100,1,0.2,0.0005,32,0.7662790642253284
100,1,0.2,0.001,16,0.7415367700761167
100,1,0.2,0.001,32,0.7517018239942567
100,1,0.3,0.0005,16,0.7807912801238889
100,1,0.3,0.0005,32,0.7664582116577084
100,1,0.3,0.001,16,0.748578090816254
100,1,0.3,0.001,32,0.7661683830882303
100,1,0.5,0.0005,16,0.7654419877740944
100,1,0.5,0.0005,32,0.7478900276755572
100,1,0.5,0.001,16,0.7168069147082341
100,1,0.5,0.001,32,0.7399413180395495
100,2,0.2,0.0005,16,0.763512231182318
100,2,0.2,0.0005,32,0.7736516988187281
100,2,0.2,0.001,16,0.7743591220815487
100,2,0.2,0.001,32,0.7605011580872841
100,2,0.3,0.0005,16,0.7683439990877416
100,2,0.3,0.0005,32,0.7703821508960726
100,2,0.3,0.001,16,0.7466798001217285
100,2,0.3,0.001,32,0.7601907907648597
100,2,0.5,0.0005,16,0.7535553531954503
100,2,0.5,0.0005,32,0.7698245600348049
100,2,0.5,0.001,16,0.7200711819341823
100,2,0.5,0.001,32,0.7518492059857632
100,3,0.2,0.0005,16,0.7692663251908043
100,3,0.2,0.0005,32,0.7873691678115091
100,3,0.2,0.001,16,0.7548848302439083
100,3,0.2,0.001,32,0.7693303753838013
100,3,0.3,0.0005,16,0.7606267588143294
100,3,0.3,0.0005,32,0.7740885842566336
100,3,0.3,0.001,16,0.7428625811503606
100,3,0.3,0.001,32,0.7551040352041987
100,3,0.5,0.0005,16,0.7458479517050971
100,3,0.5,0.0005,32,0.7561037285427422
100,3,0.5,0.001,16,0.7078541825175303
100,3,0.5,0.001,32,0.7438226995608257
200,1,0.2,0.0005,16,0.7699782745013587
200,1,0.2,0.0005,32,0.770420807277076
200,1,0.2,0.001,16,0.7449956272471091
200,1,0.2,0.001,32,0.7601316361714591
200,1,0.3,0.0005,16,0.7673357008357179
200,1,0.3,0.0005,32,0.7718985365500122
200,1,0.3,0.001,16,0.7330826437639912
200,1,0.3,0.001,32,0.7601410825823366
200,1,0.5,0.0005,16,0.7401102779964499
200,1,0.5,0.0005,32,0.7630621072549689
200,1,0.5,0.001,16,0.7426324240075618
200,1,0.5,0.001,32,0.7433656585198255
200,2,0.2,0.0005,16,0.7767818338619815
200,2,0.2,0.0005,32,0.7703343449968877
200,2,0.2,0.001,16,0.7569933346417247
200,2,0.2,0.001,32,0.7603940359389153
200,2,0.3,0.0005,16,0.7548594600971446
200,2,0.3,0.0005,32,0.7690047168089139
200,2,0.3,0.001,16,0.7636252298773503
200,2,0.3,0.001,32,0.7438443416627233
200,2,0.5,0.0005,16,0.7552992183580768
200,2,0.5,0.0005,32,0.7622294007614546
200,2,0.5,0.001,16,0.7243407236042838
200,2,0.5,0.001,32,0.7278933724491097
200,3,0.2,0.0005,16,0.7618323572582357
200,3,0.2,0.0005,32,0.7641659497172862
200,3,0.2,0.001,16,0.746519926770473
200,3,0.2,0.001,32,0.7575811558240768
200,3,0.3,0.0005,16,0.7695172979458083
200,3,0.3,0.0005,32,0.7590797505144564
200,3,0.3,0.001,16,0.7368850380915931
200,3,0.3,0.001,32,0.7512311680260145
200,3,0.5,0.0005,16,0.735721280518117
200,3,0.5,0.0005,32,0.7678744289746436
200,3,0.5,0.001,16,0.7295392205376113
200,3,0.5,0.001,32,0.7381088619719401
