date,company,open,close
01/02/2024,Tesla,250.08,248.42
01/02/2025,Tesla,390.1,379.28
01/03/2022,Tesla,382.5833,399.9266
01/03/2023,Tesla,118.47,108.1
01/03/2024,Tesla,244.98,238.45
01/03/2025,Tesla,381.48,410.44
01/04/2021,Tesla,239.82,243.2566
01/04/2022,Tesla,396.5166,383.1966
01/04/2023,Tesla,109.11,113.64
01/04/2024,Tesla,239.25,237.93
01/05/2021,Tesla,241.22,245.0366
01/05/2022,Tesla,382.2166,362.7066
01/05/2023,Tesla,110.51,110.34
01/05/2024,Tesla,236.86,237.49
01/06/2021,Tesla,252.83,251.9933
01/06/2022,Tesla,359.0,354.9
01/06/2023,Tesla,103.0,113.06
01/06/2025,Tesla,423.2,411.05
01/07/2021,Tesla,259.21,272.0133
01/07/2022,Tesla,360.1233,342.32
01/07/2025,Tesla,405.83,394.36
01/08/2021,Tesla,285.3333,293.34
01/08/2024,Tesla,236.14,240.45
01/08/2025,Tesla,392.95,394.94
01/09/2023,Tesla,118.96,119.77
01/09/2024,Tesla,238.11,234.96
01/10/2022,Tesla,333.3333,352.7066
01/10/2023,Tesla,121.07,118.85
01/10/2024,Tesla,235.1,233.94
01/10/2025,Tesla,391.4,394.74
01/11/2021,Tesla,283.1333,270.3966
01/11/2022,Tesla,351.2233,354.8
01/11/2023,Tesla,122.09,123.22
01/11/2024,Tesla,230.57,227.22
01/12/2021,Tesla,277.0,283.1466
01/12/2022,Tesla,359.6166,368.74
01/12/2023,Tesla,122.56,123.56
01/12/2024,Tesla,220.08,218.89
01/13/2021,Tesla,284.2533,284.8033
01/13/2022,Tesla,369.6883,343.8533
01/13/2023,Tesla,116.55,122.4
01/13/2025,Tesla,383.21,403.31
01/14/2021,Tesla,281.13,281.6666
01/14/2022,Tesla,339.96,349.87
01/14/2025,Tesla,414.34,396.36
01/15/2021,Tesla,284.0,275.3866
01/15/2025,Tesla,409.9,428.22
01/16/2024,Tesla,215.1,219.91
01/16/2025,Tesla,423.49,413.82
01/17/2023,Tesla,125.695,131.49
01/17/2024,Tesla,214.86,215.55
01/17/2025,Tesla,421.5,426.5
01/18/2022,Tesla,342.2016,343.5033
01/18/2023,Tesla,136.555,128.78
01/18/2024,Tesla,216.88,211.88
01/19/2021,Tesla,279.2666,281.5166
01/19/2022,Tesla,347.235,331.8833
01/19/2023,Tesla,127.26,127.17
01/19/2024,Tesla,209.99,212.19
01/20/2021,Tesla,286.2466,283.4833
01/20/2022,Tesla,336.5766,332.09
01/20/2023,Tesla,128.68,133.42
01/21/2021,Tesla,285.0,281.6633
01/21/2022,Tesla,332.1133,314.6333
01/21/2025,Tesla,432.64,424.07
01/22/2021,Tesla,278.1033,282.2133
01/22/2024,Tesla,212.26,208.8
01/22/2025,Tesla,416.81,415.11
01/23/2023,Tesla,135.87,143.75
01/23/2024,Tesla,211.3,209.14
01/23/2025,Tesla,416.06,412.38
01/24/2022,Tesla,301.5866,310.0
01/24/2023,Tesla,143.0,143.89
01/24/2024,Tesla,211.88,207.83
01/24/2025,Tesla,414.45,406.58
01/25/2021,Tesla,285.0,293.6
01/25/2022,Tesla,304.7333,306.1333
01/25/2023,Tesla,141.905,144.43
